,index,over,batter,bowler,non_striker,runs,wickets,extras,review,batter_runs,extras_runs,total_runs,player_out,wicket_type,wides,legbyes,byes,no_ball,fielders_involved_in_wicket
228,103,17.0,HH Pandya,MS Chapman,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
229,104,17.0,HH Pandya,MS Chapman,SA Yadav,"{'batter': 0, 'extras': 1, 'total': 1}",,{'legbyes': 1},,0,1,1,0,0,0,1,0,0,0
230,105,17.0,SA Yadav,MS Chapman,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
231,106,17.0,HH Pandya,MS Chapman,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
232,107,17.0,SA Yadav,MS Chapman,HH Pandya,"{'batter': 2, 'extras': 0, 'total': 2}",,,,2,0,2,0,0,0,0,0,0,0
233,108,18.0,HH Pandya,MJ Santner,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
234,109,18.0,SA Yadav,MJ Santner,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
235,110,18.0,HH Pandya,MJ Santner,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
236,111,18.0,SA Yadav,MJ Santner,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
237,112,18.0,HH Pandya,MJ Santner,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
238,113,18.0,HH Pandya,MJ Santner,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
239,114,19.0,HH Pandya,LH Ferguson,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
240,115,19.0,HH Pandya,LH Ferguson,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
241,116,19.0,SA Yadav,LH Ferguson,HH Pandya,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
242,117,19.0,SA Yadav,LH Ferguson,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
243,118,19.0,HH Pandya,LH Ferguson,SA Yadav,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
244,119,19.0,HH Pandya,LH Ferguson,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
245,120,20.0,HH Pandya,BM Tickner,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
246,121,20.0,SA Yadav,BM Tickner,HH Pandya,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
247,122,20.0,SA Yadav,BM Tickner,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
248,123,20.0,HH Pandya,BM Tickner,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
249,124,20.0,SA Yadav,BM Tickner,HH Pandya,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
